"model_id";"name";"producer";"type";"capacity";"image";"priority";"own";"forceBlockVisible";"weight";"fuel";"speed"
"model_1";"Avenger Cruise 220 2017";"Bajaj";"commute";"220";"model_1.jpg";"17";"1";"1";"155";"14";"120"
"model_11";"Activa 125 2025";"Honda";"commute";"125";"model_11.jpg";"1";"1";"1";"147";"15";"122"
"model_12";"Classic 350";"Royal Enfield";"premium";"350";"model_12.jpg";"23";"1";"1";"187";"14";"122"
"model_13";"Avenger Street 220 2018";"Bajaj";"commute";"220";"model_13.jpg";"18";"1";"1";"155";"14";"120"
"model_14";"Thunderbird 350";"Royal Enfield";"premium";"350";"model_14.jpg";"25";"1";"1";"187";"14";"122"
"model_15";"Access (Within City limits)";"Suzuki";"commute";"109";"model_15.jpg";"4";"1";"1";"108";"5";"82"
"model_16";"Pulsar 160 NS";"Bajaj";"commute";"150";"model_16.jpg";"10";"1";"1";"155";"14";"120"
"model_17";"Dominar 400";"Bajaj";"premium";"390";"model_17.jpg";"33";"1";"1";"154";"10";"159"
"model_18";"Himalayan ABS";"Royal Enfield";"premium";"400";"model_18.jpg";"36";"1";"1";"0";"0";"0"
"model_19";"Dream";"Honda";"commute";"110";"model_19.jpg";"5";"1";"1";"105";"12";"80"
"model_2";"FZ-S FI";"Yamaha";"commute";"149";"model_2.jpg";"13";"1";"1";"132";"12";"132"
"model_20";"Hornet 160";"Honda";"commute";"150";"model_20.jpg";"16";"1";"1";"0";"0";"0"
"model_21";"CBR 150R";"Honda";"premium";"150";"model_21.jpg";"20";"1";"1";"105";"12";"80"
"model_22";"Pulsar 200 NS";"Bajaj";"commute";"200";"model_22.jpg";"15";"1";"1";"155";"14";"120"
"model_23";"Pulsar 150";"Bajaj";"commute";"150";"model_23.jpg";"7";"1";"1";"155";"14";"120"
"model_24";"Interceptor 650 2023";"Royal Enfeild";"premium";"600";"model_24.jpg";"109";"1";"1";"108";"5";"82"
"model_25";"Eagle 2025 (low speed) (Unlimited swaps)";"Ses";"electric";"750";"model_25.jpg";"1";"0";"1";"0";"0";"0"
